ID	IDS-ID	CONCEPT	DOCULECT	VALUE	FORM	WORKFLOW-TOKENS	WORKFLOW-COGIDS	WORKFLOW-CROSSIDS	TOKENS	COGIDS	CROSSIDS	ROOTIDS	MORPHEMES	
65	1-213-278-1	dust	Catuquina	mai poto	mai poto	m ai + p o t o	226 224	221 224	m ai + p o t o	226 224	221 224	221 224	earth earth-4	
64	1-212-278-1	earth=ground, soil	Catuquina	mai	mai	m ai	221	221	m ai	221	221	221	earth	
62	13-140-278-1	every, all	Catuquina	kɨyo-s-ka	kɨyo-s-ka	k ɨ j o + s + k a	199 210 201	199 210 17	k ɨ j o + s + k a	199 210 201	199 210 201	199 210 201	every-4 every-5 every-3	
59	12-440-278-1	far (adv)	Catuquina	tokɨ-	tokɨ	t o k ɨ	147	147	t o k ɨ	147	147	147	far-4	
47	1-810-278-1	fire	Catuquina	ṣ̌iʔi	ṣ̌iʔi	ʂ i ʔ i	1	1	ʂ i ʔ i	1	1	1	fire-2	
48	1-820-278-1	flame (noun)	Catuquina	ṣ̌iʔi	ṣ̌iʔi	ʂ i ʔ i	7	1	ʂ i ʔ i	7	1	1	fire-2	
60	16-710-278-1	good	Catuquina	roʔa-pa	roʔa-pa	r o ʔ a + p a	164 174	164 58	r o ʔ a + p a	164 174	164 33	164 33	good-4 _pa-suffix	
53	12-550-278-1	large, big	Catuquina	ani-pa	ani-pa	a n i + p a	43 58	43 58	a n i + p a	43 58	43 33	43 33	large-5 _pa-suffix	
58	12-430-278-1	near (adv)	Catuquina	ora-ma	ora-ma	o r a + m a	128 125	128 62	o r a + m a	128 125	128 25	128 25	far-3 _not	
63	13-10-278-1	one	Catuquina	wɨsti-s	wɨsti-s	w ɨ s t i + s	215 220	215 220	w ɨ s t i + s	215 220	215 220	215 220	one-3 _s-suffix	
51	1-510-278-1	sky	Catuquina	nai	nai	n ai	29	29	n ai	29	29	29	sky-2	
54	12-560-278-1	small, little	Catuquina	ṣ̌ã-pičṣ̌a	ṣ̌ã-pičṣ̌a	ʂ ã + p i tʃ ʂ a	68 73	68 73	ʂ ã + p i tʃ ʂ a	68 71	68 71	68 71	small-2 small-6	
49	1-830-278-1	smoke (noun)	Catuquina	koʔĩ	koʔĩ	k o ʔ iː	17	17	k o ʔ iː	17	17	17	smoke-2	
52	1-520-278-1	sun	Catuquina	βari	βari	β a r i	36	36	β a r i	36	36	36	sun-2	
55	12-630-278-1	thick (in dimension)	Catuquina	kɨβi-	kɨβi	k ɨ β i	94	94	k ɨ β i	94	94	113	thick-5	
56	12-650-278-1	thin (in dimension)	Catuquina	kɨmi-ma	kɨmi-ma	k ɨ m i + m a	113 99	113 62	k ɨ m i + m a	113 99	113 25	113 25	thick-4 _not	Nasalization due to context of -ma suffix is possible in these languages, so B -> M. [JML]
71	1-840-273-1	ashes	Cavineña	moro	moro	m o r o	24	24	m o r o	24	24	24	dust-2	
